GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore
2012R0403,2012,R4,2012-04-21,24.0,13.3,2.6,Docklands,2:10 PM,30741.0,Collingwood,7.5,8.8,13.11,14.13,97.0,Port Adelaide,2.2,5.7,8.8,10.13,73
2012R0404,2012,R4,2012-04-21,21.5,18.8,0.0,Football Park,4:10 PM,28261.0,Adelaide,5.4,7.8,10.13,13.18,96.0,Greater Western Sydney,1.1,5.3,6.6,7.8,50
2012R0405,2012,R4,2012-04-21,21.9,9.2,0.0,Subiaco,5:40 PM,40080.0,West Coast,0.8,0.12,2.16,5.21,51.0,Hawthorn,0.4,2.7,3.13,5.16,46
2012R0406,2012,R4,2012-04-21,29.9,18.1,0.0,Gabba,7:40 PM,21980.0,Brisbane Lions,3.3,7.4,12.5,17.9,111.0,Gold Coast,2.4,5.8,5.9,6.1,46
2012R0407,2012,R4,2012-04-22,23.2,14.5,3.4999999999999996,Kardinia Park,1:10 PM,21952.0,Geelong,4.1,7.3,10.4,11.9,75.0,Richmond,3.1,3.6,7.1,9.11,65
2012R0408,2012,R4,2012-04-22,25.2,16.3,0.0,S.C.G.,3:15 PM,21049.0,Sydney,5.5,9.7,14.9,17.11,113.0,North Melbourne,1.3,6.7,7.11,10.17,77
2012R0409,2012,R4,2012-04-22,23.7,13.5,1.4,M.C.G.,4:40 PM,33565.0,Melbourne,1.5,3.8,7.1,9.13,67.0,Western Bulldogs,3.2,6.5,10.7,13.1,88
2012R0501,2012,R5,2012-04-25,15.2,8.7,3.4999999999999996,M.C.G.,2:40 PM,78189.5,Collingwood,2.4,5.6,9.8,11.14,80.0,Essendon,1.3,3.6,7.8,11.13,79
2012R0502,2012,R5,2012-04-27,29.5,17.6,0.0,Subiaco,6:45 PM,38847.0,Fremantle,1.2,3.9,4.1,7.15,57.0,Carlton,2.1,6.2,9.4,10.5,65
2012R0503,2012,R5,2012-04-28,19.4,3.9,0.0,Manuka Oval,1:45 PM,9128.0,Greater Western Sydney,2.4,5.5,8.6,9.8,62.0,Western Bulldogs,0.5,8.9,12.12,15.14,104
2012R0504,2012,R5,2012-04-28,21.5,8.2,0.0,Docklands,4:40 PM,17680.0,North Melbourne,4.9,8.13,14.22,17.25,127.0,Gold Coast,2.5,9.8,10.12,13.15,93
2012R0505,2012,R5,2012-04-28,21.5,8.2,0.0,M.C.G.,7:40 PM,24877.0,Melbourne,4.1,8.3,10.6,10.6,66.0,St Kilda,5.4,8.5,10.9,12.12,84
2012R0506,2012,R5,2012-04-28,21.2,16.1,3.4999999999999996,Gabba,7:45 PM,15534.0,Brisbane Lions,0.5,0.7,1.9,4.17,41.0,Geelong,4.1,7.5,10.6,12.7,79
2012R0507,2012,R5,2012-04-29,15.6,2.1,0.0,York Park,1:10 PM,19217.0,Hawthorn,5.3,8.6,8.6,10.9,69.0,Sydney,2.2,5.4,9.7,16.1,106
2012R0508,2012,R5,2012-04-29,16.0,8.6,1.6,Docklands,3:15 PM,28464.0,Richmond,4.2,9.4,12.9,14.13,97.0,West Coast,5.3,11.6,12.11,16.11,107
2012R0509,2012,R5,2012-04-29,19.0,7.8,0.0,Football Park,4:10 PM,41649.0,Adelaide,4.3,10.4,12.7,16.14,110.0,Port Adelaide,4.2,7.3,13.4,14.7,91
2012R0601,2012,R6,2012-05-04,16.7,9.8,3.4999999999999996,Docklands,7:50 PM,38155.0,Western Bulldogs,3.5,5.7,10.1,11.11,77.0,Collingwood,2.0,6.4,11.5,15.8,98
2012R0602,2012,R6,2012-05-05,13.3,7.4,0.0,Docklands,1:40 PM,36361.0,Essendon,7.700000000000001,12.9,16.12,19.15,129.0,Brisbane Lions,4.1,7.4,8.4,9.8,62
2012R0603,2012,R6,2012-05-05,15.5,8.6,0.0,Kardinia Park,1:45 PM,18010.0,Geelong,3.5,9.11,15.14,17.17,119.0,Melbourne,3.0,6.1,10.5,11.1,76
2012R0604,2012,R6,2012-05-05,23.3,14.9,0.0,Carrara,4:40 PM,11670.0,Gold Coast,3.1,8.2,10.2,14.3,87.0,Fremantle,3.0,5.3,10.7,14.1,94
2012R0605,2012,R6,2012-05-05,18.9,11.4,0.0,S.C.G.,7:40 PM,23969.0,Sydney,1.2,7.6,12.7,14.1,94.0,Adelaide,5.2,8.3,11.6,15.9,99
2012R0606,2012,R6,2012-05-05,13.3,7.4,0.0,M.C.G.,7:40 PM,42290.0,St Kilda,3.2,7.3,12.7,13.1,88.0,Hawthorn,3.6,8.9,13.11,18.15,123
2012R0607,2012,R6,2012-05-06,15.6,8.9,1.6,Docklands,1:10 PM,28213.0,Carlton,3.5,6.8,9.14,15.2,110.0,Greater Western Sydney,2.1,5.4,6.7,6.7,43
2012R0608,2012,R6,2012-05-06,18.5,11.4,0.0,Football Park,2:45 PM,18522.0,Port Adelaide,1.2,2.2,6.4,8.6,54.0,Richmond,3.2,8.7,9.1,13.13,91
2012R0609,2012,R6,2012-05-06,20.5,14.8,3.4999999999999996,Subiaco,2:40 PM,37202.0,West Coast,4.4,7.1,12.15,17.18,120.0,North Melbourne,4.0,7.2,12.2,15.5,95
2012R0701,2012,R7,2012-05-11,17.0,9.4,1.8,M.C.G.,7:50 PM,36430.0,Melbourne,3.3,3.5,5.11,6.13,49.0,Hawthorn,2.6,8.12,10.18,15.25,115
2012R0702,2012,R7,2012-05-12,17.0,6.8,0.0,Football Park,12:45 PM,35535.0,Adelaide,6.3,14.125,17.7,19.8,122.0,Geelong,3.2,4.2,6.8,10.12,72
2012R0703,2012,R7,2012-05-12,14.4,0.1,0.0,Manuka Oval,1:40 PM,8603.0,Greater Western Sydney,4.2,5.8,8.13,13.16,94.0,Gold Coast,1.3,7.9,9.11,9.13,67
2012R0704,2012,R7,2012-05-12,15.5,7.1,0.2,M.C.G.,4:40 PM,40352.0,Richmond,5.6,7.9,8.11,13.13,91.0,Sydney,0.2,2.7,6.9,8.14,62
2012R0705,2012,R7,2012-05-12,27.2,13.4,0.0,Gabba,7:40 PM,27926.0,Brisbane Lions,2.1,3.7,7.9,8.1,58.0,Collingwood,6.4,9.7,12.12,17.14,116
2012R0706,2012,R7,2012-05-12,15.5,7.1,0.2,Docklands,7:40 PM,43260.0,Essendon,1.6,5.1,12.14,16.17,113.0,West Coast,1.3,3.5,3.7,7.1,52
2012R0707,2012,R7,2012-05-13,13.2,9.1,3.4999999999999996,Docklands,1:10 PM,20885.0,North Melbourne,3.1,6.5,11.8,12.11,83.0,Western Bulldogs,3.3,9.6,14.8,15.11,101
2012R0708,2012,R7,2012-05-13,22.9,11.4,0.0,Subiaco,2:40 PM,30079.0,Fremantle,2.8,6.9,8.14,12.15,87.0,Port Adelaide,3.2,3.4,6.4,7.5,47
2012R0709,2012,R7,2012-05-14,15.8,6.8,3.4999999999999996,Docklands,7:40 PM,38823.0,St Kilda,5.3,11.5,16.6,19.8,122.0,Carlton,5.1,8.6,12.1,14.14,98
2012R0801,2012,R8,2012-05-18,17.2,8.8,0.0,M.C.G.,7:50 PM,75650.0,Collingwood,3.6,7.9,10.11,14.12,96.0,Geelong,2.4,6.6,7.12,11.18,84
2012R0802,2012,R8,2012-05-19,17.0,8.3,3.4999999999999996,Football Park,1:15 PM,14508.0,Port Adelaide,5.1,6.2,8.6,14.11,95.0,North Melbourne,4.1,7.5,11.9,14.9,93
2012R0803,2012,R8,2012-05-19,16.1,6.2,3.2,York Park,2:10 PM,12959.0,Hawthorn,2.4,10.9,13.12,17.17,119.0,Fremantle,0.3,2.6,7.8,9.9,63
2012R0804,2012,R8,2012-05-19,22.2,10.2,2.0,S.C.G.,4:40 PM,20818.0,Sydney,7.1,11.4,16.9,21.12,138.0,Melbourne,0.3,1.5,2.7,5.7,37
2012R0805,2012,R8,2012-05-19,32.1,19.8,0.0,Marrara Oval,7:10 PM,8724.0,Western Bulldogs,1.3,2.6,6.12,9.18,72.0,Gold Coast,1.5,2.9,3.1,4.1,34
2012R0806,2012,R8,2012-05-19,14.4,10.5,1.8,M.C.G.,7:50 PM,78189.5,Essendon,6.2,12.7,16.9,19.14,128.0,Richmond,4.2,6.8,11.16,15.19,109
2012R0807,2012,R8,2012-05-20,24.0,11.3,0.0,Gabba,1:10 PM,16049.0,Brisbane Lions,7.3,10.9,13.14,19.18,132.0,Greater Western Sydney,1.2,3.5,4.5,5.1,40
2012R0808,2012,R8,2012-05-20,15.2,4.8,0.2,Docklands,3:15 PM,35917.0,Carlton,5.2,5.4,7.6,8.7,55.0,Adelaide,4.5,9.6,13.9,19.1,124
2012R0809,2012,R8,2012-05-20,26.5,9.2,0.0,Subiaco,2:40 PM,38174.0,West Coast,6.2,13.6,15.7,18.13,121.0,St Kilda,1.4,5.5,11.1,13.13,91
2012R0901,2012,R9,2012-05-25,10.8,8.4,3.4999999999999996,Docklands,7:50 PM,29118.0,Western Bulldogs,1.1,6.2,8.5,11.9,75.0,Geelong,3.5,6.9,9.9,14.11,95
2012R0902,2012,R9,2012-05-26,16.0,7.6,3.4999999999999996,M.C.G.,1:45 PM,51617.0,Richmond,4.4,8.8,13.9,21.11,137.0,Hawthorn,1.3,4.9,8.1,10.15,75
2012R0903,2012,R9,2012-05-26,21.0,11.4,3.4999999999999996,Carrara,2:10 PM,12416.0,Gold Coast,2.5,7.6,7.8,10.1,70.0,Port Adelaide,4.4,7.7,14.14,17.16,118
2012R0904,2012,R9,2012-05-26,16.0,7.6,3.4999999999999996,Docklands,4:40 PM,34737.0,St Kilda,3.1,8.7,14.14,16.15,111.0,Sydney,4.4,5.4,8.6,12.11,83
2012R0905,2012,R9,2012-05-26,16.9,11.1,3.2,Football Park,7:10 PM,44238.0,Adelaide,3.1,4.5,6.1,6.13,49.0,Collingwood,3.2,5.6,5.1,10.15,75
2012R0906,2012,R9,2012-05-26,17.4,7.7,0.2,Sydney Showground,7:40 PM,11887.0,Greater Western Sydney,0.5,2.9,4.11,7.11,53.0,Essendon,3.1,8.1,13.8,18.11,119
2012R0907,2012,R9,2012-05-27,14.5,8.8,3.4999999999999996,Docklands,1:10 PM,19988.0,North Melbourne,6.4,13.8,15.8,17.1,112.0,Brisbane Lions,3.2,5.4,11.6,15.6,96
2012R0908,2012,R9,2012-05-27,14.5,8.8,3.4999999999999996,M.C.G.,3:15 PM,28371.0,Carlton,3.3,7.8,8.14,15.17,107.0,Melbourne,3.4,5.7,6.1,6.13,49
2012R0909,2012,R9,2012-05-27,24.5,6.2,0.0,Subiaco,2:40 PM,40905.0,West Coast,0.4,2.8,7.14,11.18,84.0,Fremantle,1.1,3.2,3.3,5.6,36
2012R1001,2012,R10,2012-06-01,16.1,3.1,0.0,Docklands,7:50 PM,49337.0,St Kilda,3.4,9.6,10.14,16.17,113.0,Richmond,3.7,9.8,12.11,18.13,121
2012R1002,2012,R10,2012-06-02,16.2,3.8,0.0,Kardinia Park,1:45 PM,17243.0,Geelong,4.2,7.3,13.8,19.12,126.0,Greater Western Sydney,4.2,7.3,8.5,9.7,61
2012R1003,2012,R10,2012-06-02,12.7,4.5,0.0,York Park,2:10 PM,16143.0,Hawthorn,5.2,12.5,19.15,25.100000000000005,160.5,North Melbourne,4.1,6.4,7.4,9.5,59
